Id,Label,timeset,frequency,type,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,componentnumber,clustering,triangles,eigencentrality,Cluster
Ma. Angelica Capuz,Ma. Angelica Capuz,,4,Source,4,4,6,0.295775,0.352381,0,34,7,1,6,0.061148,1
Christian Dione Bergantin,Christian Dione Bergantin,,3,Source,3,3,3,0.45,0.574074,0,89,48,1,3,0.013495,10
Maristella Aquino,Maristella Aquino,,8,Source; Target,4,8,6,0.234201,0.299471,0,39,7,1,6,0.036336,2
Allan Adrian Gatchalian,Allan Adrian Gatchalian,,5,Source; Target,5,5,1,1,1,0,78,10,1,10,0.043825,17
Denise Alyssa A. Francisco,Denise Alyssa A. Francisco,,3,Source; Target,3,3,2,0.52381,0.545455,0,79,2,1,3,0.144136,0
Jaimie Bringas,Jaimie Bringas,,4,Source; Target,4,4,1,1,1,0,54,28,1,6,0.023356,28
Renior Abrea,Renior Abrea,,1,; Target,1,1,1,1,1,0,41,41,0,0,0.001684,76
Harvey Ian Arbas,Harvey Ian Arbas,,2,Source,2,2,2,0.666667,0.75,0,42,69,1,1,0.007032,31
Thelma Palaoag,Thelma Palaoag,,1,; Target,1,1,1,1,1,0,43,70,0,0,0.001684,77
Eric R. Punzalan,Eric R. Punzalan,,6,Source; Target,6,6,6,0.344262,0.413228,0,34,7,1,15,0.143145,1
Geronimo Miguel M.Â Mantes,Geronimo Miguel M.Â Mantes,,3,Source; Target,3,3,1,1,1,0,44,63,1,3,0.011623,39
Alquine Roy F. Taculin,Alquine Roy F. Taculin,,1,Source,1,1,2,0.6,0.666667,0,75,71,0,0,0.002935,43
Pierre Allan K. Santiago,Pierre Allan K. Santiago,,2,Source; Target,2,2,1,1,1,0,33,66,1,1,0.00512,53
Kier Sostenes Guevara,Kier Sostenes Guevara,,2,Source,2,2,2,0.625,0.7,0,45,72,1,1,0.008674,23
Dion Alfonso Velasco,Dion Alfonso Velasco,,5,Source; Target,5,5,2,0.727273,0.8125,0,86,62,1,10,0.050978,12
Emmanuel Asuncion Jr.,Emmanuel Asuncion Jr.,,3,Source; Target,3,3,4,0.418605,0.5,0,24,29,1,3,0.023506,4
andÂ Jerome Ibanez,andÂ Jerome Ibanez,,4,; Target,4,4,1,1,1,0,51,8,1,6,0.023356,26
Albert H. Rivera,Albert H. Rivera,,3,Source; Target,3,3,8,0.166667,0.220087,0,39,7,1,3,0.014804,2
Manolito Octaviano Jr.,Manolito Octaviano Jr.,,4,Source; Target,4,4,8,0.252,0.321315,0,34,7,1,6,0.047537,1
Mary Jane G. Sabellano,Mary Jane G. Sabellano,,2,; Target,2,2,1,1,1,0,46,15,1,1,0.00512,45
John Darill B. Desingco,John Darill B. Desingco,,6,Source; Target,6,6,6,0.344262,0.413228,0,34,7,1,15,0.143145,1
John Eric Z. Sy,John Eric Z. Sy,,3,Source,3,3,1,1,1,0,47,73,1,3,0.011623,41
John Cliford Rosales,John Cliford Rosales,,5,Source; Target,5,5,2,0.727273,0.8125,0,86,62,1,10,0.050978,12
Ronald M. Pascual,Ronald M. Pascual,,5,Source; Target,5,5,1,1,1,0,48,74,1,10,0.043825,20
Joseph Benjamin Ferrer,Joseph Benjamin Ferrer,,3,Source,3,3,2,0.555556,0.6,0,58,38,1,3,0.032643,8
Kennethe Ann Q. Mina,Kennethe Ann Q. Mina,,2,Source; Target,2,2,2,0.666667,0.75,0,49,4,1,1,0.007032,36
Geoffrey Solano,Geoffrey Solano,,3,Source,3,3,2,0.615385,0.6875,0,50,13,1,3,0.023001,11
Aaron Noel De Leon,Aaron Noel De Leon,,5,Source; Target,5,5,2,0.777778,0.857143,0,35,39,1,10,0.047867,14
Mark Isaiah Quevedo,Mark Isaiah Quevedo,,3,; Target,3,3,1,1,1,0,62,75,1,3,0.011623,40
Christian Paul Mirano,Christian Paul Mirano,,3,Source; Target,3,3,3,0.45,0.574074,0,89,48,1,3,0.013495,10
Jordan Aiko Deja,Jordan Aiko Deja,,1,Source,1,1,5,0.265823,0.306614,0,39,7,0,0,0.020372,2
Mauro Edmund Arce,Mauro Edmund Arce,,4,Source,4,4,8,0.258197,0.335072,0,28,7,1,6,0.06366,7
Merlin Teodosia C. Suarez,Merlin Teodosia C. Suarez,,17,Source; Target,16,17,7,0.340541,0.491875,0.005741,28,7,0.225,27,0.216703,7
Nicole Marie T. Del Rosario,Nicole Marie T. Del Rosario,,2,Source,1,2,2,0.6,0.666667,0,2,9,0,0,0.002935,37
Rommel P. Feria,Rommel P. Feria,,5,Source; Target,5,5,2,0.727273,0.8125,0,50,13,1,10,0.050978,11
Jean Malolos,Jean Malolos,,3,Source; Target,3,3,2,0.52381,0.545455,0,79,2,1,3,0.144136,0
Eloisa Anne B. Gervasio,Eloisa Anne B. Gervasio,,4,Source; Target,4,4,1,1,1,0,51,8,1,6,0.023356,26
Kevin Villanueva,Kevin Villanueva,,8,; Target,4,8,6,0.234201,0.299471,0,39,7,1,6,0.036336,2
Jose Mirabueno,Jose Mirabueno,,3,Source; Target,3,3,2,0.555556,0.6,0,55,3,1,3,0.032643,6
Zyra Bravo,Zyra Bravo,,1,; Target,1,1,1,1,1,0,53,76,0,0,0.001684,78
Mc Jervis Villaruel,Mc Jervis Villaruel,,5,Source; Target,5,5,2,0.608696,0.678571,0,59,45,1,10,0.070369,9
Gimelle B. Gamilla,Gimelle B. Gamilla,,2,Source; Target,2,2,1,1,1,0,6,22,1,1,0.00512,54
