Source,Target,Weight
Kennethe Ann Q. Mina,Michelle P. Banawan,1
Kevin C. Henson,Benjamin Ryan B. Mendoza,1
Kevin Pagtakhan,Edward Tighe,1
Kevin Pagtakhan,Merlin Teodosia C. Suarez,1
Kevin Pagtakhan,Rhia Trogo,1
Kier Sostenes Guevara,Allan A. Sioson,1
Kier Sostenes Guevara,Redan Benedict Alcaide,1
Kim Christian T. Cubillan,Mary Jane G. Sabellano,1
Kristine Mae M. Adlaon,Charibeth Cheng,2
Kristine Mae M. Adlaon,Ervin Fernandez,2
Kristine Mae M. Adlaon,Judith J. Azcarraga,1
Kristine Mae M. Adlaon,Kevin Villanueva,2
Kristine Mae M. Adlaon,Maristella Aquino,2
Krystel Arriane A. Cortez,Katrina Joy H. Magno,1
Larry Vea,Ma. Mercedes T. Rodrigo,1
Laurenz Adriel Tolentino,Allan Borra,1
Laurenz Adriel Tolentino,Roger Luis Uy,1
Lawrence Yap,Merlin Teodosia C. Suarez,1
Lawrence Miguel Antonio,Cecil Jose Delfinado,1
Lawrence Miguel Antonio,Francis Jon Olaso,1
Lawrence Miguel Antonio,Joseph Ordillano,1
Lawrence Miguel Antonio,Novelle Anne Sinco,1
Lawrence Miguel Antonio,Warren Adam Sto. Tomas,1
Lee Javellana,Joel Addawe,1
Leif Romeritch Syliongka,Joel P. Ilao,1
Leif Romeritch Syliongka,Rachel Edita Roxas,2
Lemuel Clark P. Velasco,Christelle R. Villezas,1
Lemuel Clark P. Velasco,Jerald Aldin A. Dagaang,1
Lemuel Clark P. Velasco,Prinz Nikko C. Palahang,1
Lemuel John Beduya,Kurt Junshean P. Espinosa,1
Leona Jean A. Lao,Vermille Ann T. Saw,1
Lorena R. Rabago,Ernesto C. Boydon,1
Lorraine Policarpio,Brylle Joseph Quinto,1
Lorraine Policarpio,Roger Luis Uy,1
Louie Lester E. Pascual,Al Jamil L. Arazas,1
Louie Lester E. Pascual,Allan A. Sioson,1
Louie Lester E. Pascual,John Dinnex M. Valeros,1
Lourdes J. Santiago,Andrei D. Coronel,1
M. T. Malit,J. L. Agapito,1
Ma. Angelica Capuz,Brylle Joseph Quinto,1
Ma. Angelica Capuz,Lorraine Policarpio,1
Ma. Angelica Capuz,Roger Luis Uy,1
Ma. Angelica Capuz,Selwyn Emerson Reyes,1
Ma. Anne Therese Musong,Zyra Bravo,1
Ma. Christina R. Aragon,Mark Lorenz F. Eustaquio,1
Ma. Mercedes T. Rodrigo,Marc Ericson Santos,1
Ma. Regina Estuar,Kennedy E. Espina,1
Macario O. Cordel II,Eric R. Punzalan,1
Macario O. Cordel II,Joel P. Ilao,1
Macario O. Cordel II,Prane Mariel B. Ong,1
Macario O. Cordel II,Roger Luis Uy,1
Macliing Gabriel Q. Aydinan,Jr.,1
Macliing Gabriel Q. Aydinan,Prospero C. Naval,1
Manolito Octaviano Jr,Allan Borra,1
Manolito Octaviano Jr,Nathaniel Oco,1
Manolito Octaviano Jr.,Ryan Christopher Pinca,1
Marc Angelo P. Martinez,Carlo Marco S. Ortiz,1
Marco C. Lucena,John Paul C. Vergara,1
Maria Art Antonette Clariño,Eliezer A. Albacea,1
Maria Art Antonette Clariño,Rizza Mercado,1
Maria Art Antonette Clari​ñ​o,Jaime Samaniego,1
Maria Art Antonette Clari​ñ​o,Katrina Joy Abriol-Santos,1
Maria Cristina P. Co,Adrian Martin S. Sy,2
Maria Cristina P. Co,Nathaniel Oco,2
Maria Cristina P. Co,Rachel Edita Roxas,1
Maria Isabel Saludares,Charles Kevin Verdad,1
Maria Isabel Saludares,Ligaya Leah Figueroa,1
Maria Katrina Donato,Andrei D. Coronel,1
Maria Katrina Donato,Charles Jansen Ignacio,1
Maria Katrina Donato,Nethania Katrina Surtida,1
Maricor N. Soriano,Eliezer A. Albacea,1
Maristella Aquino,Ervin Fernandez,2
Maristella Aquino,Kevin Villanueva,2
Maritoni Escalona,Edward Tighe,1
Maritoni Escalona,Kevin Pagtakhan,1
Maritoni Escalona,Merlin Teodosia C. Suarez,1
Maritoni Escalona,Rhia Trogo,1
Maritoni Escalona,Ricco Laxamana,1
Marjo-Anne B. Acob,Jean O. Loyola,1
Mark Arthur A. Caro,III,1
Mark Arthur A. Caro,John Sixto G. Santos,1
Marvin Joseph R. Occeño,Richard Bryann L. Chua,1
Marvin Limson,Lawrence Yap,1
Marvin Limson,Merlin Teodosia C. Suarez,1
Marvin Limson,Michelle Ormoc,1
Mary B. Malana,Albert H. Rivera,1
Mary B. Malana,Judith J. Azcarraga,1
Mary Grace Malana,Laurenz Adriel Tolentino,1
Mary Grace Malana,Roger Luis Uy,1
Maryene B. Sy Piecco,Marrick C. Neri,1
Matthew Phillip Go,Allan Borra,2
Maureen Lyndel C. Lauron,Jaderick P. Pabico,1
Maureen M. Villamor,Ma. Mercedes T. Rodrigo,2
Mauro Edmund Arce,Lawrence Yap,1
Mauro Edmund Arce,Marvin Limson,1
Mauro Edmund Arce,Merlin Teodosia C. Suarez,1
Mauro Edmund Arce,Michelle Ormoc,1
May Marie P. Talandron,Jun Rangie C. Obispo,1
Mc Jervis Villaruel,Edlen Mari Sanchez,1
Melissa P. Juanillo,Ma. Christina R. Aragon,1
Melissa P. Juanillo,Mark Lorenz F. Eustaquio,1
Merlin Teodosia C. Suarez,Joel P. Ilao,1
Merlin Teodosia C. Suarez,Rhia Trogo,1
Mervin Stewart C. Uy,Rafael A. Cabredo,1
Michael Angeles,Maria Art Antonette Clariño,1
Michael Angeles,Nathaniel Laxina,1
Michael Angeles,Rizza Mercado,1
Michael B. Simora,Anthony B. Castillo,1
Michael B. Simora,Ayman P. Cabotaje,1
Michael B. Simora,Ronald John O. Cabatic,1
Michael B. Simora,Ronald M. Pascual,1
Michelle Ormoc,Lawrence Yap,1
Michelle Ormoc,Merlin Teodosia C. Suarez,1
Miguel Adrian C. Domingo,William Emmanuel S. Yu,1
Miguel Galace,Marlene De Leon,1
Miguel Mercado,Danny C. Cheng,1
Miguel Paolo A. Maglaque,Andrei D. Coronel,1
Miguel Paolo A. Maglaque,Geronimo Miguel M. Mantes,1
Mygel Andrei Martija,Henry N. Adorna,1
Mygel Andrei Martija,Neila Paglinawan,1
Natalie Agustin,Solomon See,1
Nathalie Rose Lim-Cheng,Aaron Jan Baldomar,1
Nathalie Rose Lim-Cheng,Angelyn Lao,1
Nathalie Rose Lim-Cheng,Danny Cheng,1
Nathalie Rose Lim-Cheng,Emmanuel Asuncion Jr.,1
Nathalie Rose Lim-Cheng,Jonathan Yiu,1
Nathalie Rose Lim-Cheng,Roberto Legaspi,2
Nathalie Rose Lim-Cheng,William James Custodio and Yun Sup Lee,1
Nathaniel Laxina,Maria Art Antonette Clariño,1
Nathaniel Laxina,Rizza Mercado,1
Nathaniel Oco,Allain Paolo Hiya,1
Nathaniel Oco,Allan Borra,1
Nathaniel Oco,Joel P. Ilao,1
Nathaniel Oco,Leif Romeritch Syliongka,2
Nathaniel Oco,Manolito Octaviano Jr.,1
Nathaniel Oco,Rachel Edita Roxas,3
Nathaniel Oco,Ryan Christopher Pinca,1
Nathaniel Oco,Sony Renz Manalo,1
Neil Jonathan A. Joaquin,Francis,1
Neil Jonathan A. Joaquin,George C. Cabarle,1
Neil Jonathan A. Joaquin,Henry N. Adorna,1
Neil Jonathan A. Joaquin,Nestine Hope S. Hernandez,1
Neil Jonathan A. Joaquin,Richelle Ann B. Juayong,1
Neil Patrick Del Gallego,Raymund C. Sison,1
Neil Patrick Del Gallego,Remedios de Dios Bulos,1
Neila Paglinawan,Henry N. Adorna,1
Nerio Pascual,Ariel Sison,1
Nerio Pascual,Bobby Gerardo,1
Nerio Pascual,Ruji Medina,1
Nestine Hope Hernandez,Jym Paul Carandang,1
Nestine Hope S. Hernandez,Francis,1
Nestine Hope S. Hernandez,George C. Cabarle,1
Nestine Hope S. Hernandez,Henry N. Adorna,3
Nethania Katrina Surtida,Andrei D. Coronel,1
Nethania Katrina Surtida,Charles Jansen Ignacio,1
Nicole Marie T. Del Rosario,Marrick C. Neri,2
Nigel Roi Concepcion,David Joseph Catemprate,1
Nigel Roi Concepcion,Ronald Pascual,1
Nikko G. Cabang,Albert A. Vinluan,1
Nikko G. Cabang,Jedidiah B. Constantino,1
Nikko G. Cabang,Marc Angelo P. Martinez,1
Nikko T. Borja,Jared Luke C. Pangilinan,1
Nikko T. Borja,Ken V. Hosoya,1
Nikko T. Borja,Mervin Stewart C. Uy,1
Nikko T. Borja,Rafael A. Cabredo,1
Nikkol John Morales,Jeno Paolo Rigor,1
Nikkol John Morales,John Lawrence Peñafiel,1
Nilo T. Dela Cruz II,Allen L. Nazareno,1
Nilo T. Dela Cruz II,Gimelle B. Gamilla,1
Nivea Jane Urdas,Ava Marie Villareal,1
Nivea Jane Urdas,Dewi Retnoningsih,1
Nivea Jane Urdas,Drew Dolot,1
Nivea Jane Urdas,Jay Chester Usero,1
Nivea Jane Urdas,Jhon Rick Salvedia,1
Nivea Jane Urdas,John Meynard Sanchez,1
Novelle Anne Sinco,Warren Adam Sto. Tomas,1
Oliver Isaac L. Chan,Charibeth Cheng,1
Oliver Isaac L. Chan,Patrick Joseph M. Sadornas,1
Oliver Isaac L. Chan,Rafael A. Cabredo,1
Paolo Gonzalez,Ella Mara Melanie Perez,1
Paolo Josef,Annalyn Reganit,1
Paolo Josef,Juan Lorenzo Hagad,1
Paolo Josef,Merlin Teodosia C. Suarez,1
Paolo Tensuan,Arnulfo Azcarraga,1
Patricia Angela Abu,Proceso Fernandez Jr,1
Patricia Anne Eugenio,Fritz Kevin Flores,1
Patricia Anne Eugenio,Gregory Cu,1
Patricia Nicole Uy,Gener Angelo Lopez,1
Patricia Nicole Uy,Jayce Caylah Ching,1
Patrick Joseph M. Sadornas,Charibeth Cheng,1
Patrick Joseph M. Sadornas,Rafael A. Cabredo,1
Paul John O. Argarin,Francis,1
Paul John O. Argarin,George C. Cabarle,1
Paul John O. Argarin,Henry N. Adorna,1
Paul John O. Argarin,Neil Jonathan A. Joaquin,1
Paul John O. Argarin,Nestine Hope S. Hernandez,1
Paul John O. Argarin,Richelle Ann B. Juayong,1
Paulo Miguel S. Capuz,Ernesto C. Boydon,1
Paulo Miguel S. Capuz,Lorena R. Rabago,1
Pia Melissa M. Encarnacion,Andrei D. Coronel,1
Pia Melissa M. Encarnacion,Chiara Veronica D. Señires,1
Pierre Allan K. Santiago,John Paul V. Guim,1
Prane Mariel B. Ong,Eric R. Punzalan,1
Prane Mariel B. Ong,Joel P. Ilao,1
Prinz Nikko C. Palahang,Christelle R. Villezas,1
Prinz Nikko C. Palahang,Jerald Aldin A. Dagaang,1
Proceso Fernandez Jr,John Paul C. Vergara,1
Prospero C. Naval,Jr.,1
R.W. Gardon,Kardi Teknomo,1
Rachel Anne G. Concepcion,Marrick C. Neri,1
Rachel Edita Roxas,Joel P. Ilao,1
Rafael A. Cabredo,Charibeth Cheng,1
Rafael Gerard Formes,Cedric Festin,1
Ramon Rodriguez,Faramarz Ataollahi,1
Ramon Rodriguez,Joel P. Ilao,1
Ramon Rodriguez,Rafael A. Cabredo,1
Rancelli Jane Roxas,Bruce Elmer Peralta,1
Rancelli Jane Roxas,Dollen Lour Huang,1
Rancelli Jane Roxas,Ethel Ong,1
Rancelli Jane Roxas,Sahnir Yap,1
Raphael Bihis,Ann Franchesca Laguna,1
Raphael Bihis,Charisse Hong,1
Raphael Bihis,Jaimie Bringas,1
Ravi D. Militar,and Jerome Ibanez,1
Ray Carlo Añonuevo,Danny C. Cheng,1
Ray Carlo Añonuevo,Dea Ferrer,1
Ray Carlo Añonuevo,Fernito Llanita,1
Ray Carlo Añonuevo,Miguel Mercado,1
Raymund E. Dilan,Proceso Fernandez Jr,1
Redan Benedict Alcaide,Allan A. Sioson,1
Regine Danica Regino,Andrei D. Coronel,1
Regine Danica Regino,Christine Faith Tango,1
Reinald Kim Amplayo,Jason Occidental,2
Ren Tristan dela Cruz,Dionne Peter P. Cailipan,1
Ren Tristan dela Cruz,Francis George C. Cabarle,2
Ren Tristan dela Cruz,Henry N. Adorna,2
Ren Tristan dela Cruz,Jym Paul A. Carandang,1
Ren Tristan dela Cruz,Jym Paul Carandang,1
Ren Tristan dela Cruz,Kelvin Buño,2
Ren Tristan dela Cruz,Nestine Hope Hernandez,1
Ren Tristan dela Cruz,Nestine Hope S. Hernandez,1
Ren Tristan dela Cruz,Zechariah B. Jimenez,1
Renier G. Mendoza,Victoria May Paguio Mendoza,1
Rex Bringula,Aaron Noel De Leon,1
Rex Bringula,Daryll Santos,1
Rex Bringula,Jose Mari Ramos,1
Rex Bringula,Roselle S. Basa,1
Rex Bringula,Sean Michael Amador,1
Rex P. Bringula,Cecilio Dela Cruz,1
Rex P. Bringula,Roselle S. Basa,1
Ricardo Q. Camungao,Bartolome T. Tanguilig III,1
Ricardo Q. Camungao,Bobby D. Gerardo,1
Ricco Laxamana,Edward Tighe,1
Ricco Laxamana,Kevin Pagtakhan,1
Ricco Laxamana,Merlin Teodosia C. Suarez,1
Ricco Laxamana,Rhia Trogo,1
Richelle Ann B. Juayon,Henry N. Adorna,1
Richelle Ann B. Juayong,Francis,1
Richelle Ann B. Juayong,Francis George C. Cabarle,1
Richelle Ann B. Juayong,George C. Cabarle,1
Richelle Ann B. Juayong,Henry N. Adorna,3
Richelle Ann B. Juayong,Kelvin C. Buno,1
Richelle Ann B. Juayong,Nestine Hope S. Hernandez,2
Robee Khyra Mae J. Te,Alden Luc R. Hade,1
Robee Khyra Mae J. Te,Camille Alexis T.R. Saavedra,1
Robee Khyra Mae J. Te,Ethel Ong,1
Robee Khyra Mae J. Te,Janica Mae M. Lam,1
Rocky Marcelino,Jaime Samaniego,1
Rocky Marcelino,Katrina Joy Abriol-Santos,1
Rocky Marcelino,Maria Art Antonette Clari​ñ​o,1
Rodolfo Raga Jr,Jennifer D. Raga,1
Roger Luis Uy,Brylle Joseph Quinto,1
Roger Luis Uy,Eric R. Punzalan,1
Roger Luis Uy,Joel D. Ilao,1
Roger Luis Uy,Joel P. Ilao,1
Roger Luis Uy,Prane Mariel B. Ong,1
Roger Luis Uy,Rafael A. Cabredo,1
Roland Joseph M. Gudani,Miguel Paolo M. Quijano,1
Rommel P. Feria,Annette G. Lagman,1
Rommel P. Feria,Ariel S. Betan,1
Rommel P. Feria,Paulo Noel G. Paje,1
Rommel P. Feria,Rowena C. Solamo,1
Ronald John O. Cabatic,Anthony B. Castillo,1
Ronald John O. Cabatic,Ayman P. Cabotaje,1
Ronald John O. Cabatic,Ronald M. Pascual,1
Ronald M. Pascual,Anthony B. Castillo,1
Ronald M. Pascual,Ayman P. Cabotaje,1
Roselle S. Basa,Cecilio Dela Cruz,1
Rowena C. Solamo,Paulo Noel G. Paje,1
Rozano S. Maniaol,Danilo J. Mercado,1
Ruahden F. Dang-awan,Henry N. Adorna,1
Ruy Josel Verano,Jan Michael Bernardo,1
Ryan Rey M. Daga,Proceso Fernandez Jr,1
Sahnir Yap,Ethel Ong,1
Samantha G. Mallari,Ernesto C. Boydon,1
Samantha G. Mallari,Eva R. Samillano,1
Samantha G. Mallari,Faith I. Ballesteros,1
Samantha G. Mallari,Lorena R. Rabago,1
Samantha G. Mallari,Paulo Miguel S. Capuz,1
Sang N. Le,Kok-Lim Low,1
Sean Michael Amador,Roselle S. Basa,1
Selwyn Emerson Reyes,Brylle Joseph Quinto,1
Selwyn Emerson Reyes,Lorraine Policarpio,1
Selwyn Emerson Reyes,Roger Luis Uy,1
Shenamae Borja,John Ultra,1
Sherlyne L. Francia,Denise Alyssa A. Francisco,1
Sherlyne L. Francia,Henry N. Adorna,1
Sherlyne L. Francia,Richelle Ann B. Juayon,1
Solomon See,Roberto Legaspi,1
Somnath Bera,Henry N. Adorna,1
Somnath Bera,Jean Malolos,1
Sony Renz Manalo,Manolito Octaviano Jr.,1
Sony Renz Manalo,Ryan Christopher Pinca,1
Stephen Beale,Richard Denton,1
Sun Arthur Ojeda,Jaime DL Caro,1
Teresita C. Limoanco,John Paul S. Guzman,1
Teresita C. Limoanco,Raymund C. Sison,1
Thomas James Tiam-Lee,Solomon See,1
Tita R. Herradura,Joel P. Ilao,1
Tita R. Herradura,Merlin Teodosia C. Suarez,2
Tod Allman,Richard Denton,1
Tod Allman,Stephen Beale,1
Tony Y. T. Chan,Ruji P. Medina,1
Trisha Regine P. Wang,Cecil Jose A. Delfinado,1
Ulyses A. Solon Jr,Aimee B. Rarugal,1
Ulyses A. Solon Jr,Giovanni A. Tapang,1
Ulyses A. Solon Jr,Guido David,1
Val Randolf M. Madrid,Eliezer A. Albacea,1
Val Randolf M. Madrid,Maricor N. Soriano,1
Val Randolf Madrid,Renior Abrea,1
Vanlalhruaii Swansi,Judith J. Azcarraga,1
Vileser T. Naculangga,Jheanel E. Estrada,1
Vincent Paul L. Carpio,Joseph Anthony C. Hermocilla,1
Vincent Paul L. Carpio,Katrina Joy M. Abriol-Santos,1
Wilben Christie R. Pagtaconan,Cecilia A. Mercado,1
Winston M. Tabada,Jerik G. Beltran,1
Xavier Jeaspher Eser,Patricia Angela Abu,1
Xavier Jeaspher Eser,Proceso Fernandez Jr,1
Z. E. L. Arcega,J. L. Agapito,1
Z. E. L. Arcega,M. T. Malit,1
Zechariah B. Jimenez,Francis George C. Cabarle,1
Zechariah B. Jimenez,Henry N. Adorna,1
Zechariah B. Jimenez,Jym Paul Carandang,1
Zechariah B. Jimenez,Kelvin Buño,1
Zechariah B. Jimenez,Nestine Hope Hernandez,1
Zuleika A. Yee,Michelle P. Banawan,1
Adrian Martin S. Sy,Nathaniel Oco,2
Angelica H. Dela Cruz,Adrian Martin S. Sy,2
Angelica H. Dela Cruz,Maria Cristina P. Co,2
Angelica H. Dela Cruz,Nathaniel Oco,2
Charibeth Cheng,Ervin Fernandez,2
Charibeth Cheng,Kevin Villanueva,2
Charibeth Cheng,Maristella Aquino,2
Ervin Fernandez,Kevin Villanueva,2
Francis George C. Cabarle,Henry N. Adorna,4
Francis George C. Cabarle,Henry N. Adorna,4
Francis George C. Cabarle,Henry N. Adorna,4
Francis George C. Cabarle,Kelvin Buño,2
Jeffrey A. Aborot,Henry N. Adorna,2
Kristine Mae M. Adlaon,Charibeth Cheng,2
Kristine Mae M. Adlaon,Ervin Fernandez,2
Kristine Mae M. Adlaon,Kevin Villanueva,2
Kristine Mae M. Adlaon,Maristella Aquino,2
Leif Romeritch Syliongka,Rachel Edita Roxas,2
Maria Cristina P. Co,Adrian Martin S. Sy,2
Maria Cristina P. Co,Nathaniel Oco,2
Maristella Aquino,Ervin Fernandez,2
Maristella Aquino,Kevin Villanueva,2
Matthew Phillip Go,Allan Borra,2
Maureen M. Villamor,Ma. Mercedes T. Rodrigo,2
Nathalie Rose Lim-Cheng,Roberto Legaspi,2
Nathaniel Oco,Leif Romeritch Syliongka,2
Nathaniel Oco,Rachel Edita Roxas,3
Nathaniel Oco,Rachel Edita Roxas,3
Nestine Hope S. Hernandez,Henry N. Adorna,3
Nestine Hope S. Hernandez,Henry N. Adorna,3
Nicole Marie T. Del Rosario,Marrick C. Neri,2
Reinald Kim Amplayo,Jason Occidental,2
Ren Tristan dela Cruz,Francis George C. Cabarle,2
Ren Tristan dela Cruz,Henry N. Adorna,2
Ren Tristan dela Cruz,Kelvin Buño,2
Richelle Ann B. Juayong,Henry N. Adorna,3
Richelle Ann B. Juayong,Henry N. Adorna,3
Richelle Ann B. Juayong,Nestine Hope S. Hernandez,2
Tita R. Herradura,Merlin Teodosia C. Suarez,2
