Source,Target,Weight
Anne Grace H. Peralta,Layton Jan M. Tee,1
Annette G. Lagman,Paulo Noel G. Paje,1
Annette G. Lagman,Rowena C. Solamo,1
Anthony B. Castillo,Ayman P. Cabotaje,1
Anthony Brian Dy,Cedric Festin,1
Anthony Brian Dy,Christian Edensor Arbon,1
April Gale V. Guevara,Miguel Adrian C. Domingo,1
April Gale V. Guevara,William Emmanuel S. Yu,1
Ara Abigail Ambita,Ligaya Leah Figueroa,1
Ariel S. Betan,Annette G. Lagman,1
Ariel S. Betan,Paulo Noel G. Paje,1
Ariel S. Betan,Rowena C. Solamo,1
Ariel Sison,Bobby Gerardo,1
Ariel Sison,Ruji Medina,1
Art Maco T. Del Rosario,Carlo Marco S. Ortiz,1
Art Maco T. Del Rosario,John Carlo R. Gonzales,1
Art Maco T. Del Rosario,Marc Angelo P. Martinez,1
Arvin Christopher Reyes,Neil Patrick Del Gallego,1
Arvin Medina,Naomi Mendaros,1
Ava Marie Villareal,Dewi Retnoningsih,1
Baldip Bhuller,Arvin Medina,1
Baldip Bhuller,Fritz Kevin Flores,1
Baldip Bhuller,Joshua Manto,1
Baldip Bhuller,Naomi Mendaros,1
Berwin Jarret T. Yu,Richard Bryann L. Chua,1
Bianca Camille Silmaro,Jaime DL Caro,1
Bianca Camille Silmaro,Sun Arthur Ojeda,1
Bobby D. Gerardo,Bartolome T. Tanguilig III,1
Bobby Gerardo,Ruji Medina,1
Brian Christopher T. Guadalupe,William Emmanuel S. Yu,1
Briane Paul V. Samson,Cymon Nicollo P. Marcaida,1
Briane Paul V. Samson,Eloisa Anne B. Gervasio,1
Briane Paul V. Samson,Ravi D. Militar,1
Briane Paul V. Samson,and Jerome Ibanez,1
Bruce Elmer Peralta,Ethel Ong,1
Bruce Elmer Peralta,Sahnir Yap,1
C.D.S. Ergina,V.M.II Romero,1
Camille Alexis T.R. Saavedra,Alden Luc R. Hade,1
Camille Alexis T.R. Saavedra,Ethel Ong,1
Camille Bencito,Christian Paul Mirano,1
Camille Bencito,Larry Vea,1
Camille C. Diez,Enrico M. Tria,1
Camille C. Diez,John Paul C. Vergara,1
Carlene P.C. Pilar-Arceo,Eduardo R. Mendoza,1
Carlo Adriano,Ann Franchesca Laguna,1
Carlo Adriano,Charisse Hong,1
Carlo Adriano,Jaimie Bringas,1
Carlo Adriano,Raphael Bihis,1
Carlo D. Mendoza,Alyssa Nicole N. Ty,1
Carlo D. Mendoza,John Paul C. Vergara,1
Carlos Alberto Arcenas,Marlene De Leon,1
Carlos Alberto Arcenas,Miguel Galace,1
Catherine Mae Peña,Jian Michael Wu,1
Catherine Mae Peña,Jocelynn Cu,1
Cecil Jose Delfinado,Francis Jon Olaso,1
Cecil Jose Delfinado,Joseph Ordillano,1
Cecil Jose Delfinado,Novelle Anne Sinco,1
Cecil Jose Delfinado,Warren Adam Sto. Tomas,1
Cedric Festin,Anna Janeri B. Ongcol,1
Cedric Festin,Bryan Adam B. Tan,1
Cedric Festin,Fatima Suzanne G. De Villa,1
Celine Villafuerte,Allison Mae Yu,1
Charibeth Cheng,Ervin Fernandez,2
Charibeth Cheng,Kevin Villanueva,2
Charibeth Cheng,Louie Anson Ng,1
Charibeth Cheng,Maristella Aquino,2
Charisse Hong,Ann Franchesca Laguna,1
Charl Amaba,Angie M. Ceniza,1
Charl Amaba,Darren Josef M. Kho,1
Charl Amaba,Mark Isaiah Quevedo,1
Charles Jansen Ignacio,Andrei D. Coronel,1
Charles Kevin Verdad,Ligaya Leah Figueroa,1
Cher T. Panlilio,Andrei D. Coronel,1
Cher T. Panlilio,Lourdes J. Santiago,1
Chiara Veronica D. Señires,Andrei D. Coronel,1
Christelle R. Villezas,Jerald Aldin A. Dagaang,1
Christian Chan,Andrei D. Coronel,1
Christian Chan,Jose Mirabueno,1
Christian Chan,Justin San Pedro,1
Christian Dione Bergantin,Camille Bencito,1
Christian Dione Bergantin,Christian Paul Mirano,1
Christian Dione Bergantin,Larry Vea,1
Christian Edensor Arbon,Cedric Festin,1
Christian Paul Mirano,Larry Vea,1
Christian Paulo De Leon,Allan Adrian Gatchalian,1
Christian Paulo De Leon,David Joseph Catemprate,1
Christian Paulo De Leon,Juan Miguel Ninobla,1
Christian Paulo De Leon,Nigel Roi Concepcion,1
Christian Paulo De Leon,Ronald Pascual,1
Christian Philip Gelera,Christian Quinzon,1
Christian Philip Gelera,Edlen Mari Sanchez,1
Christian Philip Gelera,Ethel Ong,1
Christian Philip Gelera,Mc Jervis Villaruel,1
Christian Quinzon,Edlen Mari Sanchez,1
Christian Quinzon,Ethel Ong,1
Christian Quinzon,Mc Jervis Villaruel,1
Christian Terrence Esguerra,Conrado R. Ruiz Jr,1
Christian dela Cruz,Thelma Palaoag,1
Christine Faith Tango,Andrei D. Coronel,1
Christine Joy Infante,Annalyn Reganit,1
Christine Joy Infante,Juan Lorenzo Hagad,1
Christine Joy Infante,Merlin Teodosia C. Suarez,1
Christine Joy Infante,Paolo Josef,1
Christine Lourrine S. Tablatin,Ma. Mercedes T. Rodrigo,1
Christoffer F. Kho,Gian T. Salay,1
Christoffer F. Kho,Marlene M. De Leon,1
Chynna Julia Cordevilla,Cedric Festin,1
Chynna Julia Cordevilla,Rafael Gerard Formes,1
Clarisa Albarillo,Proceso Fernandez Jr,1
Clarissa Mae Garcia,Allison Mae Yu,1
Clarissa Mae Garcia,Celine Villafuerte,1
Conrad Olega,Aaron Manaloto,1
Conrad Olega,Cedric Festin,1
Conrad Olega,Karlo Soriano,1
Conrado R. Ruiz Jr,Kok-Lim Low,1
Conrado R. Ruiz Jr,Sang N. Le,1
Courtney Ngo,Roberto Legaspi,1
Courtney Ngo,Solomon See,1
Cymon Nicollo P. Marcaida,Eloisa Anne B. Gervasio,1
Cymon Nicollo P. Marcaida,Ravi D. Militar,1
Cymon Nicollo P. Marcaida,and Jerome Ibanez,1
Danen Clint Ocfemi,John D. Ultra,1
Daniel Stanley Tan,Angelyn Lao,1
Daniel Stanley Tan,Nathalie Rose Lim-Cheng,1
Danny C. Cheng,Nathalie Rose Lim-Cheng,1
Danny C. Cheng,Roberto Legaspi,1
Danny Cheng,Roberto Legaspi,1
Darren Josef M. Kho,Angie M. Ceniza,1
Darren Josef M. Kho,Mark Isaiah Quevedo,1
Daryll Santos,Jose Mari Ramos,1
Daryll Santos,Roselle S. Basa,1
Daryll Santos,Sean Michael Amador,1
David Jonathan L. Relacion,Cecil Jose A. Delfinado,1
David Jonathan L. Relacion,Juan Miguel C. Roman,1
